T  (s),T1,T2,T3,CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
131.807007,27.005243,22.814301,27.112125,472.033539,136.487808,-68.898483,182.301971,308.563965,1633.978149,1575.802002,1906.957397,1.163283,1.163429,1.163263,1.163728,1.163890,1.163856,1.163595,1.163448,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178611,-0.051645,0.026070,-0.068981,-0.116756,-0.618275,-0.596262,-0.721567
135.266998,26.999376,22.829224,27.111500,472.195557,136.680573,-68.742218,182.287018,308.754791,1634.180786,1574.115967,1907.495117,1.163304,1.163446,1.163279,1.163761,1.163926,1.163895,1.163616,1.163512,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178672,-0.051718,0.026011,-0.068975,-0.116829,-0.618352,-0.595624,-0.721771
138.710007,27.001137,22.790699,27.111687,472.638489,137.061478,-68.079994,182.537064,308.101471,1632.605835,1573.204468,1904.041504,1.163345,1.163467,1.163329,1.163776,1.163936,1.163899,1.163633,1.163497,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178840,-0.051862,0.025761,-0.069070,-0.116581,-0.617756,-0.595279,-0.720464
142.145004,26.991055,22.786764,27.112312,472.019501,135.364502,-68.558952,181.394760,308.381500,1632.830933,1574.659668,1904.532471,1.163336,1.163437,1.163306,1.163750,1.163902,1.163890,1.163601,1.163478,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178606,-0.051220,0.025942,-0.068637,-0.116687,-0.617841,-0.595830,-0.720649
145.647995,26.988333,22.816174,27.111563,472.629700,135.106583,-69.226570,181.210358,307.965179,1632.571899,1576.633911,1903.328491,1.163360,1.163503,1.163353,1.163791,1.163930,1.163914,1.163648,1.163515,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178837,-0.051123,0.026194,-0.068568,-0.116530,-0.617743,-0.596577,-0.720194
149.235001,26.988760,22.833593,27.111626,472.238403,135.032242,-69.205956,180.992767,307.895203,1631.998535,1572.089355,1902.333130,1.163319,1.163499,1.163339,1.163800,1.163938,1.163898,1.163663,1.163519,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178689,-0.051094,0.026187,-0.068485,-0.116503,-0.617526,-0.594857,-0.719817
152.649994,26.968756,22.851015,27.112062,471.881561,134.529175,-69.809052,180.520126,307.723877,1631.813843,1572.481201,1903.134766,1.163355,1.163497,1.163316,1.163786,1.163936,1.163870,1.163653,1.163497,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178554,-0.050904,0.026415,-0.068306,-0.116439,-0.617456,-0.595006,-0.720121
156.139999,26.969023,22.860130,27.109938,472.014648,133.924759,-70.145554,180.456070,306.872955,1630.775635,1572.627075,1902.278198,1.163333,1.163455,1.163312,1.163788,1.163944,1.163887,1.163636,1.163512,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178604,-0.050675,0.026542,-0.068282,-0.116117,-0.617064,-0.595061,-0.719796
159.942001,26.973450,22.842335,27.110500,471.827484,133.343430,-70.240280,180.596786,306.259247,1631.218384,1571.891235,1902.985840,1.163340,1.163458,1.163317,1.163783,1.163927,1.163903,1.163636,1.163536,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178533,-0.050455,0.026578,-0.068335,-0.115884,-0.617231,-0.594783,-0.720064
163.647995,26.980064,22.814550,27.112312,471.776001,133.193039,-70.713760,178.957489,306.067963,1629.631348,1573.922241,1902.311279,1.163321,1.163482,1.163294,1.163772,1.163924,1.163899,1.163632,1.163509,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178514,-0.050398,0.026757,-0.067715,-0.115812,-0.616631,-0.595551,-0.719809
167.447998,26.968756,22.823353,27.112875,471.413818,132.931793,-71.463348,178.744507,305.417938,1629.887451,1574.924805,1899.038940,1.163344,1.163476,1.163292,1.163769,1.163914,1.163867,1.163602,1.163451,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178377,-0.050300,0.027041,-0.067635,-0.115566,-0.616728,-0.595930,-0.718571
171.132004,26.959900,22.834906,27.110813,471.187103,132.164795,-71.968033,179.182312,305.102295,1633.261230,1575.509766,1895.906494,1.163320,1.163454,1.163304,1.163757,1.163937,1.163871,1.163619,1.163464,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178291,-0.050009,0.027232,-0.067800,-0.115447,-0.618004,-0.596152,-0.717386
174.753006,26.977505,22.836403,27.111063,470.792847,131.572479,-73.125778,177.686752,309.518890,1637.490601,1572.870361,1894.255615,1.163315,1.163457,1.163316,1.163793,1.163908,1.163929,1.163635,1.163514,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178142,-0.049785,0.027670,-0.067234,-0.117118,-0.619604,-0.595153,-0.716761
178.501007,26.976330,22.839525,27.110813,471.237762,130.960770,-72.893585,181.621231,316.350922,1638.265137,1571.783325,1894.122314,1.163344,1.163484,1.163325,1.163778,1.163951,1.163938,1.163669,1.163509,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178310,-0.049554,0.027582,-0.068723,-0.119703,-0.619897,-0.594742,-0.716710
182.177994,26.972811,22.808868,27.111500,470.753815,130.984787,-69.989601,190.741806,320.769470,1638.965454,1570.917236,1890.294312,1.163368,1.163504,1.163335,1.163792,1.163949,1.163926,1.163668,1.163521,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.178127,-0.049563,0.026483,-0.072174,-0.121375,-0.620162,-0.594414,-0.715262
185.770996,26.959900,22.825914,27.110250,468.363312,134.927399,-56.852730,201.374664,323.466980,1636.801147,1563.582031,1882.482300,1.163336,1.163482,1.163318,1.163784,1.163909,1.163889,1.163639,1.163512,1.000000,1.000000,9800.000000,50.000000,600.000000,27.000000,-0.177222,-0.051055,0.021512,-0.076197,-0.122396,-0.619344,-0.591638,-0.712306
