T  (s),CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Inj.,Val.
5778.819824,4215.072754,4402.074219,3978.428955,-580.523193,-1394.433594,-1535.38562,-805.833008,-2767.830566,11.0,1.0
5782.279785,4215.900391,4401.48877,3978.234619,-580.375183,-1393.521484,-1534.81543,-809.359985,-2768.002686,11.0,1.0
5785.669922,4203.287109,4387.918945,3979.164795,-580.514587,-1392.498169,-1535.662354,-808.534851,-2761.474121,11.0,1.0
5789.129883,4200.899414,4399.94043,3978.584717,-580.171021,-1392.779785,-1535.125854,-810.337708,-2763.545166,11.0,1.0
5792.529785,4203.078613,4399.710937,3978.363281,-579.914612,-1393.811768,-1534.407471,-809.145569,-2764.007324,11.0,1.0
5795.970215,4203.494629,4399.611816,3977.843018,-582.821716,-1391.062134,-1537.009399,-807.573242,-2761.395508,11.0,1.0
5799.379883,4202.086914,4399.245117,3978.37207,-584.090759,-1393.93811,-1535.520386,-810.374146,-2760.678223,11.0,1.0
5802.819824,4203.045898,4399.849609,3978.466064,-582.223755,-1394.848877,-1537.629517,-810.539978,-2764.555176,11.0,1.0
5806.220215,4200.177734,4398.891113,3978.47998,-583.27533,-1395.256836,-1537.616455,-810.628723,-2764.246338,11.0,1.0
5809.669922,4203.15918,4398.140137,3978.365723,-583.062683,-1394.355469,-1538.205688,-811.098572,-2761.759521,11.0,1.0
5813.129883,4202.743652,4398.333008,3979.098877,-582.205383,-1395.165161,-1538.888062,-809.388428,-2775.544922,11.0,1.0
5816.529785,4214.692383,4398.071777,3978.693604,-582.300476,-1395.641357,-1537.076538,-809.67688,-2817.374756,11.0,1.0
5819.970215,4214.848633,4398.019531,3980.331055,-582.701782,-1394.449951,-1536.852295,-812.091614,-2813.915527,11.0,1.0
5823.379883,4214.438965,4397.263184,3977.022705,-584.043091,-1395.169678,-1539.187256,-811.727966,-2811.114502,11.0,1.0
5826.819824,4213.376465,4396.79541,3977.661133,-584.525085,-1398.676758,-1539.974731,-812.461609,-2809.825928,11.0,1.0
5830.220215,4214.664062,4396.487793,3973.514404,-585.04895,-1397.105957,-1540.201782,-812.389221,-2814.141846,11.0,1.0
5833.669922,4215.013184,4396.27002,3978.405029,-584.635071,-1394.904907,-1539.936157,-812.764343,-2763.677002,11.0,1.0
5837.029785,4213.839844,4395.961914,3980.339844,-584.143005,-1397.159302,-1541.040771,-813.335449,-2764.288574,11.0,1.0
5840.470215,4214.399902,4391.815918,3979.306885,-586.342773,-1397.054321,-1541.447754,-813.931702,-2763.735596,11.0,1.0
5843.879883,4213.927246,4395.525879,3977.851562,-585.97467,-1397.164795,-1542.612183,-812.267334,-2763.743896,11.0,1.0
5847.319824,4201.693848,4392.27832,3978.721191,-587.932068,-1397.852661,-1541.090454,-814.671997,-2768.601074,11.0,1.0
5850.720215,4201.209473,4392.714844,3978.305908,-587.649841,-1398.0177,-1541.140747,-813.662659,-2768.746826,11.0,1.0
5854.169922,4201.799805,4393.188965,3979.232422,-586.736389,-1397.60083,-1544.196655,-812.442993,-2770.646973,11.0,1.0
5857.629883,4201.656738,4393.254395,3979.342285,-585.454834,-1396.534668,-1541.448242,-814.192993,-2814.563965,11.0,1.0
5861.029785,4197.98584,4392.291016,3978.33667,-585.457214,-1398.80249,-1541.9552,-814.900269,-2820.619873,11.0,1.0
5864.470215,4202.112793,4391.789062,3978.745117,-588.614563,-1399.022217,-1543.031616,-817.523743,-2820.399658,11.0,1.0
5867.879883,4199.96875,4391.269531,3978.431885,-587.412231,-1398.508179,-1541.996094,-815.29425,-2819.517334,11.0,1.0
5871.319824,4199.260254,4390.833984,3977.420654,-582.291687,-1398.762451,-1542.77356,-815.581238,-2820.040771,11.0,1.0
5874.720215,4200.183105,4390.308105,3978.162354,-589.374268,-1399.186035,-1542.728882,-814.379639,-2819.474121,11.0,1.0
5878.169922,4202.98291,4389.866699,3978.543701,-588.234436,-1399.123779,-1539.85437,-814.878113,-2817.272705,11.0,1.0
5881.569824,4199.571289,4389.668945,3978.243164,-588.549011,-1398.857056,-1542.5354,-814.889832,-2821.169434,11.0,1.0
5885.029785,4201.097168,4389.036621,3978.673828,-586.895691,-1397.659912,-1542.244385,-811.901184,-2772.60376,11.0,1.0
5888.419922,4200.287109,4388.654297,3979.446533,-588.062683,-1398.758301,-1541.615112,-814.174866,-2802.363525,11.0,1.0
5891.879883,4213.30957,4388.17334,3978.707764,-587.388672,-1395.919434,-1541.765625,-812.72406,-2767.122314,11.0,1.0
5895.279785,4212.289062,4388.286133,3978.202148,-586.245422,-1397.888062,-1541.977539,-813.560608,-2816.378662,11.0,1.0
5898.720215,4213.158203,4388.09668,3979.537598,-588.351074,-1398.396362,-1541.171997,-813.302795,-2816.796875,11.0,1.0
5902.169922,4201.31543,4386.489258,3979.112793,-588.016174,-1398.13208,-1540.671265,-813.837341,-2818.903564,11.0,1.0
5905.569824,4200.588867,4386.995605,3979.772705,-588.011658,-1397.882568,-1541.709961,-813.048584,-2820.6604,11.0,1.0
5909.029785,4201.263184,4387.167969,3978.651367,-586.755981,-1397.928345,-1542.010742,-813.056091,-2769.171143,11.0,1.0
5912.419922,4200.31543,4385.200684,3978.506348,-588.301086,-1399.570801,-1542.496948,-813.579468,-2764.895508,11.0,1.0
5915.879883,4201.103027,4385.482422,3979.269287,-587.669922,-1399.048584,-1542.946655,-813.173523,-2768.325439,11.0,1.0
5919.279785,4200.389648,4384.866699,3978.548096,-587.716675,-1399.294678,-1543.318726,-814.240723,-2770.38208,11.0,1.0
5922.720215,4199.992676,4384.362793,3979.028076,-590.328369,-1399.632202,-1542.741333,-814.579224,-2769.964844,11.0,1.0
5926.129883,4199.917969,4383.96582,3978.491943,-589.292358,-1399.359741,-1542.874023,-814.513855,-2774.266602,11.0,1.0
5929.569824,4200.794434,4384.030762,3979.008301,-589.534058,-1400.297363,-1543.307983,-814.954346,-2771.922607,11.0,1.0
5932.970215,4199.780273,4382.952637,3978.748291,-590.951721,-1400.166504,-1542.979492,-815.076233,-2769.441406,11.0,1.0
5936.379883,4200.489746,4383.092285,3978.956787,-589.199524,-1400.074707,-1544.152954,-814.567261,-2769.512207,11.0,1.0
5939.819824,4200.297363,4382.496582,3976.528564,-590.585571,-1401.608765,-1544.093384,-815.802002,-2771.909912,11.0,1.0
5943.169922,4211.075195,4381.473633,3978.383789,-590.774841,-1400.875122,-1544.350098,-816.145142,-2769.562012,11.0,1.0
5946.629883,4212.179687,4381.899902,3978.791992,-590.051941,-1400.970581,-1543.571533,-814.545044,-2771.634766,11.0,1.0
5950.029785,4210.925293,4381.48877,3979.004395,-590.304871,-1401.85376,-1544.741089,-816.469543,-2773.479736,11.0,1.0
5953.470215,4211.208984,4381.288086,3979.333496,-591.748657,-1402.243896,-1544.851807,-816.339172,-2770.15918,11.0,1.0
5956.879883,4210.184082,4380.218262,3979.331299,-592.283691,-1402.076294,-1545.939453,-816.475952,-2771.606201,11.0,1.0
5960.319824,4210.991211,4379.926758,3978.772461,-593.171753,-1403.718384,-1545.847046,-817.226868,-2768.519043,11.0,1.0
5963.720215,4198.975098,4379.737305,3978.89209,-593.757141,-1402.340698,-1547.176636,-816.701233,-2773.233398,11.0,1.0
5967.169922,4210.455078,4379.260254,3978.563477,-593.528931,-1404.058716,-1547.55603,-817.541382,-2800.94458,11.0,1.0
5970.529785,4207.640137,4378.472656,3978.547363,-592.784912,-1404.312256,-1548.291626,-818.695251,-2829.837402,11.0,1.0
5973.970215,4210.375,4379.04541,3979.326172,-592.945923,-1403.59082,-1547.85498,-818.434326,-2827.768799,11.0,1.0
5977.379883,4209.334473,4378.287598,3979.508545,-594.536011,-1404.407593,-1548.582275,-818.541931,-2828.249512,11.0,1.0
