T  (s)	T1	T2	T3	CL1cBAK2	CL2polyAC	CL3cBAK2	CL4polyAC	CL5cBAK2	CL6polyAC	CL7cBAK2	CL8polyAC	Sum1	Sum2	Sum3	Sum4	Sum5	Sum6	Sum7	Sum8	Inj.	Val.	Vol.	Flow	Tim.	Setpoint	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8
184.179993	27.000790	22.648649	27.062687	-252.329147	310.467804	-552.584961	313.235321	391.475861	55.334682	265.795715	-63.847633	1.035555	1.035784	1.035398	1.036314	1.036411	1.036521	1.036053	1.035972	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095478	-0.117477	0.209091	-0.118524	-0.148129	-0.020938	-0.100574	0.024159
187.436996	26.990013	22.618492	27.062437	-252.424332	310.379761	-552.751160	312.878601	391.385651	55.532772	266.582611	-59.729496	1.035443	1.035779	1.035671	1.036400	1.036272	1.036541	1.036002	1.035903	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095514	-0.117444	0.209154	-0.118389	-0.148095	-0.021013	-0.100871	0.022601
190.692993	26.984146	22.619678	27.061438	-251.559586	310.825317	-552.911987	313.102722	389.521027	55.197018	266.094147	-65.311592	1.035456	1.035773	1.035443	1.036346	1.036301	1.036388	1.036070	1.036037	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095187	-0.117612	0.209214	-0.118474	-0.147390	-0.020886	-0.100686	0.024713
193.953003	26.961687	22.644091	27.061438	-252.120483	310.256927	-552.946777	312.893738	391.848419	55.020515	265.996704	-64.250122	1.035562	1.035705	1.035497	1.036491	1.036753	1.036957	1.036680	1.036406	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095399	-0.117397	0.209228	-0.118395	-0.148270	-0.020819	-0.100650	0.024311
197.208008	26.964409	22.619179	27.062250	-252.304947	310.168976	-553.160828	312.797760	389.350708	55.044724	265.894684	-62.407471	1.035945	1.036025	1.035987	1.036912	1.036744	1.036911	1.036444	1.036349	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095469	-0.117364	0.209309	-0.118358	-0.147325	-0.020828	-0.100611	0.023614
200.462006	26.957634	22.608002	27.062626	-252.189606	309.999451	-552.895020	313.118103	389.258667	54.903191	265.333008	-57.350574	1.035866	1.036076	1.035981	1.036825	1.036929	1.037234	1.036693	1.036723	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095425	-0.117300	0.209208	-0.118480	-0.147290	-0.020775	-0.100398	0.021701
203.714005	26.960674	22.598261	27.061062	-252.457977	309.824219	-553.001160	312.388550	392.013794	55.070038	265.691162	-54.290424	1.036244	1.036181	1.035979	1.036745	1.036649	1.037079	1.036434	1.036536	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095527	-0.117233	0.209248	-0.118204	-0.148333	-0.020838	-0.100534	0.020543
206.966995	26.963821	22.593328	27.060499	-252.316650	309.872955	-553.144226	312.616577	392.423096	54.292416	265.305634	-58.314354	1.035997	1.036132	1.035842	1.036770	1.036879	1.037138	1.036657	1.036670	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095473	-0.117252	0.209302	-0.118290	-0.148488	-0.020544	-0.100388	0.022065
210.218994	26.975611	22.617743	27.062124	-252.690353	309.716980	-553.263000	312.566132	391.948853	54.538845	265.137482	-56.644493	1.036051	1.036206	1.035868	1.036938	1.036874	1.037005	1.036542	1.036587	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095615	-0.117193	0.209347	-0.118271	-0.148308	-0.020637	-0.100324	0.021434
213.473007	26.978224	22.595139	27.063250	-252.767746	309.612946	-553.864136	312.135864	390.818176	54.689552	265.498932	-52.917732	1.036135	1.036346	1.036122	1.036902	1.036826	1.036861	1.036616	1.036512	1.000000	1.000000	9100.000000	50.000000	480.000000	27.000000	0.095644	-0.117153	0.209575	-0.118108	-0.147880	-0.020694	-0.100461	0.020023
