T  (s)	T1	T2	T3	5然cBAK2	5然polyAC	5然cBAK2	5然polyAC	40然cBAK2	40然polyAC	40然cBAK2	40然polyAC	Sum1	Sum2	Sum3	Sum4	Sum5	Sum6	Sum7	Sum8	Inj.	Val.	Vol.	Flow	Tim.	Setpoint	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8
174.507004	26.962168	22.623737	26.974125	-2144.487793	1173.862549	-264.298889	496.252991	-269.198059	218.971466	114.173370	895.489014	1.148134	1.148239	1.148081	1.148638	1.148797	1.148824	1.148532	1.148427	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811445	-0.444174	0.100007	-0.187775	0.101861	-0.082856	-0.043202	-0.338841
177.768005	26.978598	22.632353	26.974375	-2143.983154	1174.607056	-264.174103	497.552277	-269.245483	219.093826	114.152657	895.584778	1.148046	1.148195	1.148031	1.148566	1.148766	1.148815	1.148494	1.148466	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811254	-0.444456	0.099960	-0.188267	0.101879	-0.082902	-0.043194	-0.338877
181.024002	26.960033	22.624235	26.972937	-2144.242920	1174.619629	-264.077942	496.795776	-269.112701	219.286484	114.926598	895.989563	1.148096	1.148280	1.148086	1.148619	1.148790	1.148836	1.148521	1.148480	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811353	-0.444460	0.099924	-0.187981	0.101829	-0.082975	-0.043487	-0.339030
184.285995	26.955179	22.620865	26.972687	-2143.987793	1174.125488	-263.949402	497.161713	-269.146790	219.426880	114.853928	895.334412	1.148114	1.148214	1.148080	1.148661	1.148812	1.148854	1.148489	1.148433	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811256	-0.444273	0.099875	-0.188119	0.101842	-0.083028	-0.043459	-0.338783
187.542999	26.949419	22.658390	26.973125	-2143.682129	1174.066650	-264.569000	496.533722	-269.567047	219.304138	115.023895	895.653076	1.148106	1.148255	1.148077	1.148655	1.148789	1.148872	1.148496	1.148492	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811141	-0.444251	0.100109	-0.187882	0.102001	-0.082982	-0.043523	-0.338903
190.798004	26.990173	22.678619	26.973499	-2144.979492	1173.050293	-264.747375	495.978027	-269.628357	218.968170	115.162628	895.590149	1.148125	1.148233	1.148065	1.148626	1.148809	1.148856	1.148492	1.148478	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811631	-0.443866	0.100177	-0.187671	0.102024	-0.082855	-0.043576	-0.338879
194.061005	27.003242	22.661762	26.972063	-2144.844238	1174.053345	-264.467529	496.430664	-269.362732	219.374069	115.623642	895.508972	1.148160	1.148250	1.148060	1.148614	1.148771	1.148763	1.148454	1.148451	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811580	-0.444246	0.100071	-0.187843	0.101923	-0.083008	-0.043750	-0.338849
197.320999	26.981585	22.662262	26.974188	-2145.213867	1172.997314	-265.115723	495.557465	-269.811646	219.016830	115.427971	895.067810	1.148052	1.148170	1.147997	1.148590	1.148737	1.148777	1.148451	1.148382	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811720	-0.443846	0.100316	-0.187512	0.102093	-0.082873	-0.043676	-0.338682
200.583008	26.980305	22.675686	26.972813	-2145.012451	1173.409424	-264.694672	495.755371	-269.256104	219.656601	116.019135	896.491699	1.148058	1.148167	1.148037	1.148584	1.148783	1.148824	1.148439	1.148384	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811644	-0.444002	0.100157	-0.187587	0.101883	-0.083115	-0.043900	-0.339220
203.837006	26.958113	22.669754	26.974251	-2145.191162	1173.036865	-264.886871	497.646118	-268.773437	220.601501	117.072334	895.978149	1.148052	1.148213	1.148026	1.148562	1.148674	1.148744	1.148406	1.148358	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811711	-0.443861	0.100230	-0.188303	0.101700	-0.083473	-0.044299	-0.339026
207.093994	26.941576	22.622425	26.973000	-2144.155029	1173.778687	-264.122833	497.587708	-268.009094	221.387924	117.557434	896.240295	1.148046	1.148208	1.148016	1.148562	1.148700	1.148736	1.148477	1.148412	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811319	-0.444142	0.099941	-0.188280	0.101411	-0.083770	-0.044482	-0.339125
210.352997	26.973957	22.623924	26.972813	-2144.315918	1173.597656	-264.358948	498.875305	-267.513885	222.326584	117.876183	896.705566	1.148061	1.148216	1.148046	1.148593	1.148776	1.148787	1.148450	1.148427	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811380	-0.444074	0.100030	-0.188768	0.101224	-0.084125	-0.044603	-0.339301
213.613007	26.985212	22.605192	26.971437	-2144.757324	1173.186646	-264.238403	498.892792	-266.635406	223.013657	118.706947	897.694946	1.148092	1.148202	1.148033	1.148597	1.148780	1.148853	1.148532	1.148486	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811547	-0.443918	0.099984	-0.188774	0.100891	-0.084385	-0.044917	-0.339676
216.863007	26.980785	22.615870	26.973249	-2144.695312	1173.356812	-263.275452	500.022064	-265.217255	224.213699	120.118782	900.827209	1.148111	1.148279	1.148096	1.148648	1.148767	1.148805	1.148501	1.148458	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811524	-0.443982	0.099620	-0.189202	0.100355	-0.084839	-0.045451	-0.340861
220.121002	26.974756	22.646963	26.974062	-2145.178467	1172.889893	-263.106659	500.687256	-263.858978	225.880249	123.746300	908.190002	1.148093	1.148275	1.148094	1.148646	1.148788	1.148806	1.148543	1.148423	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811707	-0.443806	0.099556	-0.189453	0.099841	-0.085470	-0.046824	-0.343647
223.403000	26.979610	22.621302	26.972876	-2145.020996	1173.628418	-262.173401	503.018097	-261.773773	229.224792	131.500229	915.601318	1.148081	1.148252	1.148062	1.148576	1.148742	1.148785	1.148456	1.148428	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811647	-0.444085	0.099203	-0.190335	0.099052	-0.086736	-0.049758	-0.346451
226.666000	26.979877	22.622612	26.973249	-2145.005127	1174.441528	-260.154510	506.283142	-256.439667	240.120468	143.044540	917.316589	1.148128	1.148244	1.148080	1.148587	1.148762	1.148840	1.148452	1.148479	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811641	-0.444393	0.098439	-0.191571	0.097033	-0.090858	-0.054126	-0.347100
229.929001	26.988947	22.620926	26.972313	-2144.032227	1175.955933	-257.365845	510.303894	-247.856812	249.107071	145.668854	914.408997	1.148087	1.148205	1.148038	1.148560	1.148720	1.148805	1.148463	1.148414	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811273	-0.444966	0.097384	-0.193092	0.093786	-0.094259	-0.055119	-0.346000
233.186005	26.994547	22.603569	26.972687	-2143.907959	1176.663452	-254.494019	518.325684	-238.643646	252.679642	143.800339	910.212524	1.148097	1.148222	1.148044	1.148589	1.148758	1.148783	1.148433	1.148434	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.811226	-0.445234	0.096297	-0.196127	0.090300	-0.095611	-0.054412	-0.344412
236.440002	26.998281	22.608501	26.971874	-2143.164551	1178.125488	-248.677460	525.545532	-233.596146	251.810410	139.639603	905.021790	1.148073	1.148186	1.148040	1.148555	1.148728	1.148799	1.148477	1.148407	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.810945	-0.445787	0.094096	-0.198859	0.088390	-0.095282	-0.052838	-0.342448
239.699005	26.989532	22.620739	26.972500	-2142.791504	1182.082275	-239.890472	532.280151	-233.256851	248.691711	134.592636	901.878418	1.148085	1.148227	1.148046	1.148572	1.148764	1.148794	1.148471	1.148466	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.810803	-0.447284	0.090771	-0.201408	0.088261	-0.094102	-0.050928	-0.341259
242.972000	27.007883	22.581465	26.971500	-2140.471191	1188.793823	-230.809906	533.871216	-235.755295	244.194778	130.317642	899.196777	1.148124	1.148250	1.148048	1.148607	1.148775	1.148805	1.148468	1.148413	1.000000	1.000000	9800.000000	50.000000	900.000000	27.000000	0.809925	-0.449824	0.087335	-0.202010	0.089207	-0.092400	-0.049310	-0.340244
