T  (s)	T1	T2	T3	CL1cBAK2	CL2polyAC	CL3cBAK2	CL4polyAC	CL5cBAK2	CL6polyAC	CL7cBAK2	CL8polyAC	Sum1	Sum2	Sum3	Sum4	Sum5	Sum6	Sum7	Sum8	Inj.	Val.	Vol.	Flow	Tim.	Setpoint	CP1	CP2	CP3	CP4	CP5	CP6	CP7	CP8
128.826996	26.998655	21.844435	27.005938	-5563.687988	405.969971	4674.301270	1955.135010	-1172.183350	-969.166199	-5086.219727	-2561.904297	1.001084	1.002076	1.001543	1.002399	1.002603	1.002796	1.002133	1.002510	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105225	-0.153614	-1.768693	-0.739797	0.443538	0.366719	1.924557	0.969390
132.084000	26.995081	21.840439	27.005501	-5564.170410	400.911957	4673.796875	1950.983398	-1172.214233	-968.656433	-5087.207031	-2563.990234	1.001085	1.002086	1.001623	1.002477	1.002635	1.002837	1.002151	1.002512	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105407	-0.151700	-1.768502	-0.738226	0.443550	0.366527	1.924931	0.970179
135.343994	26.992628	21.830261	27.004562	-5566.088867	405.335876	4674.555664	1955.184570	-1172.168213	-968.826111	-5087.342773	-2562.416748	1.001114	1.002086	1.001608	1.002436	1.002628	1.002848	1.002146	1.002507	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.106133	-0.153374	-1.768789	-0.739816	0.443533	0.366591	1.924982	0.969584
138.600998	27.001963	21.823519	27.005688	-5565.775391	405.417877	4674.878906	1952.311890	-1172.266846	-969.043640	-5087.060059	-2562.951416	1.001067	1.002074	1.001585	1.002427	1.002623	1.002826	1.002178	1.002500	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.106015	-0.153405	-1.768911	-0.738729	0.443570	0.366673	1.924875	0.969786
141.854996	26.995989	21.794859	27.007687	-5566.000488	404.457092	4674.072266	1952.661499	-1172.831909	-969.911133	-5088.381348	-2563.567139	1.001088	1.002068	1.001552	1.002404	1.002576	1.002812	1.002111	1.002464	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.106100	-0.153041	-1.768606	-0.738861	0.443784	0.367001	1.925375	0.970019
145.106003	26.995295	21.802790	27.006874	-5565.282715	405.249542	4674.106445	1951.313599	-1172.148682	-975.603760	-5087.637207	-2562.056152	1.001070	1.002064	1.001588	1.002413	1.002636	1.002808	1.002148	1.002498	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105828	-0.153341	-1.768619	-0.738351	0.443525	0.369155	1.925094	0.969448
148.360992	26.993587	21.812778	27.006750	-5565.586914	404.866638	4672.795898	1952.888428	-1171.398315	-968.704163	-5088.119141	-2561.793701	1.001095	1.002090	1.001614	1.002433	1.002652	1.002878	1.002204	1.002541	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105943	-0.153196	-1.768123	-0.738947	0.443241	0.366545	1.925276	0.969348
151.613007	26.996254	21.823456	27.007500	-5564.212402	404.330078	4675.991699	1953.126099	-1171.814331	-969.167847	-5088.337891	-2562.569824	1.001135	1.002105	1.001606	1.002440	1.002662	1.002866	1.002190	1.002551	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.105423	-0.152993	-1.769332	-0.739037	0.443399	0.366720	1.925359	0.969642
154.869995	26.998602	21.805660	27.005938	-5565.751953	404.821472	4674.255859	1953.723389	-1172.023437	-969.198425	-5087.299805	-2562.605469	1.001138	1.002110	1.001635	1.002480	1.002668	1.002892	1.002185	1.002523	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.106006	-0.153179	-1.768676	-0.739263	0.443478	0.366732	1.924966	0.969655
158.125000	26.997854	21.772507	27.007063	-5566.583984	404.545013	4675.530762	1952.457275	-1171.459961	-970.142456	-5087.215820	-2562.023437	1.001113	1.002099	1.001645	1.002475	1.002669	1.002854	1.002175	1.002523	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.106321	-0.153074	-1.769158	-0.738784	0.443265	0.367089	1.924934	0.969435
161.376999	26.999828	21.784245	27.007000	-5566.559082	404.971649	4677.408691	1954.385986	-1171.822388	-969.258118	-5087.483887	-2562.503906	1.001102	1.002103	1.001593	1.002426	1.002644	1.002826	1.002122	1.002472	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.106311	-0.153236	-1.769869	-0.739513	0.443402	0.366754	1.925036	0.969617
164.630997	27.000576	21.785244	27.007812	-5566.018555	404.437622	4673.583008	1955.666992	-1171.645142	-969.768860	-5087.192383	-2562.154785	1.001082	1.002076	1.001570	1.002401	1.002617	1.002810	1.002152	1.002479	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.106107	-0.153034	-1.768421	-0.739998	0.443335	0.366948	1.924925	0.969485
167.893997	27.007191	21.775566	27.007687	-5567.867187	404.064240	4675.548340	1953.023071	-1172.764526	-971.418457	-5088.422852	-2561.876953	1.001047	1.002028	1.001543	1.002385	1.002530	1.002764	1.002086	1.002432	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.106806	-0.152892	-1.769165	-0.738998	0.443758	0.367572	1.925391	0.969380
171.147995	26.998762	21.763577	27.007063	-5567.608398	404.364868	4673.770020	1952.652588	-1172.232666	-970.379822	-5088.092773	-2561.848389	1.001037	1.002003	1.001532	1.002374	1.002565	1.002773	1.002108	1.002459	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.106708	-0.153006	-1.768492	-0.738857	0.443557	0.367179	1.925266	0.969369
174.408997	27.002016	21.788116	27.006563	-5565.994629	403.944122	4675.595215	1953.300537	-1172.818848	-970.975647	-5088.545898	-2563.237305	1.001060	1.002030	1.001567	1.002469	1.002647	1.002863	1.002154	1.002542	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.106097	-0.152847	-1.769182	-0.739103	0.443779	0.367404	1.925437	0.969895
177.667999	27.004097	21.807096	27.004499	-5566.731445	403.385254	4677.561523	1953.197754	-1172.628418	-970.973450	-5088.495117	-2562.626465	1.001093	1.002079	1.001575	1.002448	1.002644	1.002834	1.002186	1.002486	1.000000	1.000000	9200.000000	50.000000	480.000000	27.000000	2.106376	-0.152636	-1.769926	-0.739064	0.443707	0.367403	1.925418	0.969663
