T  (s),T1,T2,T3,CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5McBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Inj.,Val.,Vol.,Flow,Tim.,Setpoint,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8
194.057007,26.998816,22.561359,26.962063,-931.729919,-2039.859131,-1095.317261,-1167.673218,-2005.02063,-1038.088379,-945.439697,1801.045044,1.165009,1.165087,1.164904,1.165326,1.165461,1.165232,1.164765,0.370523,1.0,1.0,9800.0,50.0,600.0,27.0,0.352554,0.771855,0.414453,0.441832,0.758673,0.392799,0.357742,-0.681491
197.320007,27.004629,22.518339,26.962313,-930.689453,-2038.353394,-1094.758667,-1167.350586,-2004.733032,-1040.341431,-948.002441,1802.338135,1.164962,1.165048,1.164905,1.165314,1.165423,1.165228,1.164761,0.370106,1.0,1.0,9800.0,50.0,600.0,27.0,0.35216,0.771286,0.414242,0.44171,0.758564,0.393651,0.358711,-0.681981
200.578995,26.996042,22.515217,26.9645,-930.771606,-2038.620117,-1095.176514,-1167.119995,-2005.387329,-1042.118286,-948.680786,1797.535034,1.16494,1.164996,1.164835,1.16525,1.165388,1.165206,1.164735,0.370229,1.0,1.0,9800.0,50.0,600.0,27.0,0.352191,0.771387,0.4144,0.441622,0.758812,0.394324,0.358968,-0.680163
203.832001,27.00223,22.52858,26.963249,-929.531555,-2037.348145,-1094.407837,-1165.789795,-2004.801514,-1044.025146,-948.365295,1796.294189,1.164972,1.165051,1.164894,1.165302,1.165392,1.165219,1.164776,0.370228,1.0,1.0,9800.0,50.0,600.0,27.0,0.351722,0.770905,0.414109,0.441119,0.75859,0.395045,0.358849,-0.679694
207.093994,26.997854,22.499046,26.961563,-929.878357,-2037.467529,-1094.418701,-1165.902588,-2005.785645,-1046.971802,-946.592957,1799.66626,1.164927,1.165002,1.164845,1.165276,1.165427,1.165188,1.164764,0.369867,1.0,1.0,9800.0,50.0,600.0,27.0,0.351853,0.77095,0.414113,0.441162,0.758962,0.39616,0.358178,-0.680969
210.345001,26.994921,22.517715,26.963499,-929.239502,-2036.64917,-1094.090088,-1165.569092,-2005.539673,-1048.737671,-949.969421,1798.363281,1.16498,1.165064,1.164926,1.165315,1.165445,1.165239,1.164781,0.370207,1.0,1.0,9800.0,50.0,600.0,27.0,0.351612,0.770641,0.413989,0.441036,0.758869,0.396828,0.359456,-0.680476
213.606003,26.993374,22.524147,26.962187,-928.822083,-2035.951538,-1093.756958,-1164.702515,-2005.175415,-1050.153931,-951.961121,1794.909424,1.165012,1.16507,1.164945,1.165312,1.165464,1.165259,1.164795,0.36995,1.0,1.0,9800.0,50.0,600.0,27.0,0.351454,0.770377,0.413863,0.440708,0.758731,0.397364,0.360209,-0.67917
216.858002,26.998121,22.511471,26.961124,-928.263184,-2034.953613,-1093.145996,-1164.439697,-2005.485229,-1053.043091,-954.574829,1802.294922,1.165011,1.165099,1.164944,1.165361,1.165475,1.165304,1.164803,0.370092,1.0,1.0,9800.0,50.0,600.0,27.0,0.351242,0.769999,0.413632,0.440608,0.758849,0.398457,0.361198,-0.681964
220.110001,26.999935,22.507975,26.964062,-928.152527,-2034.774292,-1093.014771,-1164.316284,-2005.791382,-1055.842285,-950.97345,1799.889771,1.165016,1.165102,1.16491,1.165324,1.165461,1.165258,1.164806,0.369843,1.0,1.0,9800.0,50.0,600.0,27.0,0.3512,0.769931,0.413582,0.440562,0.758964,0.399517,0.359836,-0.681054
223.365997,26.982279,22.493925,26.966249,-927.979126,-2034.38916,-1093.297852,-1164.406616,-2005.866943,-1058.030884,-951.63678,1794.122803,1.165013,1.165086,1.164923,1.165352,1.165457,1.165259,1.164828,0.369686,1.0,1.0,9800.0,50.0,600.0,27.0,0.351135,0.769786,0.413689,0.440596,0.758993,0.400345,0.360087,-0.678872
226.617996,26.977478,22.463205,26.962626,-927.57605,-2033.938965,-1093.315796,-1164.506104,-2005.979736,-1059.883423,-958.242981,1797.329834,1.165023,1.165095,1.164939,1.165351,1.165463,1.165245,1.164766,0.369968,1.0,1.0,9800.0,50.0,600.0,27.0,0.350982,0.769615,0.413696,0.440633,0.759036,0.401046,0.362586,-0.680085
229.869995,26.988199,22.498671,26.961687,-927.777161,-2033.975098,-1093.270752,-1164.671509,-2006.459717,-1062.182129,-958.836182,1801.347168,1.164975,1.165066,1.164931,1.165323,1.165428,1.165232,1.164811,0.369625,1.0,1.0,9800.0,50.0,600.0,27.0,0.351058,0.769629,0.413679,0.440696,0.759217,0.401915,0.362811,-0.681606
233.128006,26.973103,22.520588,26.963751,-927.79834,-2033.57959,-1093.437988,-1164.685059,-2007.146118,-1065.003174,-958.237366,1797.671631,1.165,1.165108,1.164922,1.165354,1.165485,1.165272,1.164827,0.369218,1.0,1.0,9800.0,50.0,600.0,27.0,0.351066,0.769479,0.413742,0.440701,0.759477,0.402983,0.362584,-0.680215
